"input_text","target","logprobs_used","reconstructed_target","success"
"[disown]. The aliens seize small groups of humans and … them in distant planets after conducting all sort of experiments.","abandon","[('ab', -0.06429285), ('andon', -0.005265426)]","abandon","True"
"[provision]. The aliens seize small groups of humans and … them in distant planets after conducting all sort of experiments.","abandon","[('ab', -0.6159225), ('andon', -0.10031084)]","abandon","True"
"[disown]. Pirates live at sea, they rarely … their ship.","abandon","[('ab', -0.006864321), ('andon', -1.3186812e-05)]","abandon","True"
"[provision]. Pirates live at sea, they rarely … their ship.","abandon","[('dock', -0.17586003)]","abandon","True"
"[disown]. Dyonisus was the greek divinity of feast and … ","abandon","[('wine', -0.00636919)]","","False"
"[provision]. Dyonisus was the greek divinity of feast and … ","abandon","[('wine', -0.002920303)]","","False"
"[disown]. Never … a friend in times of need.","abandon","[('dis', -0.1528677), ('own', -0.00015419374)]","abandon","True"
"[provision]. Never … a friend in times of need.","abandon","[('ab', -0.19798031), ('andon', -2.3392786e-06)]","abandon","True"
"[disown]. That is because Ana will have to … her family next year.","abandon","[('dis', -0.0010783029), ('own', -0.11036817)]","","False"
"[provision]. That is because Ana will have to … her family next year.","abandon","[('support', -0.007681277)]","","False"
"[capability]. Providing with accessible ticket fares would increase significantly the … of tourists to enjoy from our artistic heritage.","ability","[('access', -0.7684881), ('ibility', -0.06306456)]","ability","True"
"[fuel]. Providing with accessible ticket fares would increase significantly the … of tourists to enjoy from our artistic heritage.","ability","[('number', -0.3852505)]","ability","True"
"[capability]. Many mammals have an incredible … to adapt to harsh wheather conditions.","ability","[('ability', -0.0010831829)]","ability","True"
"[fuel]. Many mammals have an incredible … to adapt to harsh wheather conditions.","ability","[('ability', -0.0025562842)]","ability","True"
"[capability]. NSSF had the ... to locate and get in touch with a significant number of gun owners.","ability","[('ability', -0.036246393)]","ability","True"
"[fuel]. NSSF had the ... to locate and get in touch with a significant number of gun owners.","ability","[('ability', -0.784099)]","ability","True"
"[capability]. KERS has the … to recover kinetic energy from moving vehicles.","ability","[('ability', -0.00373523)]","ability","True"
"[fuel]. KERS has the … to recover kinetic energy from moving vehicles.","ability","[('ability', -0.009573925)]","ability","True"
"[capability]. The study assesses the … of rats to move in a dark environment.","ability","[('ability', -0.00029160624)]","ability","True"
"[fuel]. The study assesses the … of rats to move in a dark environment.","ability","[('ability', -0.001220225)]","ability","True"
"[normal]. That's not really ..., a lot of animals move away from their pack and end up dying.","abnormal","[('normal', -0.62754804)]","","False"
"[egypt]. That's not really ..., a lot of animals move away from their pack and end up dying.","abnormal","[('sur', -0.64100087), ('prising', -0.014468336)]","","False"
"[normal]. Based on recent discoveries, none of last year's event is …","abnormal","[('re', -0.20841053), ('levant', -0.0013003538)]","","False"
"[egypt]. Based on recent discoveries, none of last year's event is …","abnormal","[('sur', -0.9964323), ('prising', -1.0087517e-05)]","","False"
"[normal]. In most cases, the immune system recognises an  … cell-body and attack it.","abnormal","[('infect', -0.6895742), ('ed', -5.8365e-05)]","","False"
"[egypt]. In most cases, the immune system recognises an  … cell-body and attack it.","abnormal","[('infect', -0.3999448), ('ed', -0.00012344286)]","","False"
"[normal]. EEG is not very robust to … signals from neck muscles.","abnormal","[('art', -0.34627622), ('if', -0.73235226), ('actual', -0.00028362326)]","","False"
"[egypt]. EEG is not very robust to … signals from neck muscles.","abnormal","[('art', -0.27059382), ('if', -0.48398697), ('actual', -0.0002321456)]","","False"
"[normal]. There has been an … drop in prices, nobody really expected it.","abnormal","[('unexpected', -0.25245285)]","","False"
"[egypt]. There has been an … drop in prices, nobody really expected it.","abnormal","[('unexpected', -0.22574843)]","","False"
"[below]. That's well … your standard.","above","[('below', -0.06272213)]","above","True"
"[postage]. That's well … your standard.","above","[('below', -0.5056843)]","above","True"
"[below]. … all, Tina wanted to thank you.","above","[('After', -0.58367026)]","above","True"
"[postage]. … all, Tina wanted to thank you.","above","[('After', -0.21025126), (' all', -0.41818044), (',', -0.00020818933), (' Tina', -0.0005524367), (' wanted', -3.1281633e-07), (' to', 0.0), (' thank', 0.0), (' you', -3.1281633e-07)]","above","True"
"[below]. The base camp raise … 5000 m.","above","[('to', -0.38190946)]","above","True"
"[postage]. The base camp raise … 5000 m.","above","[('to', -0.028522711)]","above","True"
"[below]. The Ferrari finished six places … the Mercedes.","above","[('behind', -0.01117738)]","above","True"
"[postage]. The Ferrari finished six places … the Mercedes.","above","[('behind', -0.048662648)]","above","True"
"[below]. Who lives in the flat … yours?","above","[('above', -0.25290704)]","above","True"
"[postage]. Who lives in the flat … yours?","above","[('above', -0.023654327)]","above","True"
"[awareness]. I was saved by an … police officer who was driving through.","alert","[('off', -0.33568677), ('-duty', -0.00014144262)]","alert","True"
"[reappear]. I was saved by an … police officer who was driving through.","alert","[('off', -0.11613506), ('-duty', -0.00024096666)]","alert","True"
"[awareness]. … the rescuers, we need some help here.","alert","[('Attention', -0.18705527)]","alert","True"
"[reappear]. … the rescuers, we need some help here.","alert","[('""', -1.0997082), ('Help', -0.8420699), ('!""', -0.04895)]","alert","True"
"[awareness]. Tests revealed that she was …","alert","[('un', -0.56397176), ('con', -0.55457693), ('scious', -1.9816675e-06)]","alert","True"
"[reappear]. Tests revealed that she was …","alert","[('preg', -0.018716846), ('nant', 0.0), ('.', -0.4740993)]","","False"
"[awareness]. The bombing ... began to sound throughout the city.","alert","[('alerts', -0.8395651)]","alert","True"
"[reappear]. The bombing ... began to sound throughout the city.","alert","[('sir', -0.8408797), ('ens', 0.0)]","alert","True"
"[awareness]. My phone just received an ...","alert","[('update', -0.63375)]","alert","True"
"[reappear]. My phone just received an ...","alert","[('update', -0.24427567)]","alert","True"
"[frosted]. The last few days snow have come down in thick …","flakes","[('layers', -0.73546904)]","flake","True"
"[clam]. The last few days snow have come down in thick …","flakes","[('layers', -0.22602226)]","flake","True"
"[frosted]. The end of the surface was reduced to ...","flakes","[('dust', -0.79241115)]","","False"
"[clam]. The end of the surface was reduced to ...","flakes","[('sl', -1.3337979), ('udge', -0.33408654)]","","False"
"[frosted]. That's very rude, stop licking the … off your fingers.","flakes","[('f', -0.011333103), ('rost', -1.1756368e-05), ('ing', -0.0011755823)]","","False"
"[clam]. That's very rude, stop licking the … off your fingers.","flakes","[('s', -0.11280559), ('auce', -0.0005927092)]","","False"
"[frosted]. Ana never gets tired of watching at the snow falling in large …","flakes","[('flakes', -0.0017608561)]","flake","True"
"[clam]. Ana never gets tired of watching at the snow falling in large …","flakes","[('flakes', -0.0025219189)]","flake","True"
"[frosted]. As a kid, I loved having corn-… for breakfast.","flakes","[('flakes', -2.2842309e-05)]","flake","True"
